Gumieńce,Kwiatowa,0.31
Kwiatowa,Ku Słońcu,0.59
Ku Słońcu,Szkoła Salezjańska,0.27
Szkoła Salezjańska,Karola Miarki,0.64
Karola Miarki,Cmentarz Centralny,0.64
Cmentarz Centralny,Osiedle Akademickie,0.34
Osiedle Akademickie,Sikorskiego,0.37
Sikorskiego,Plac Kościuszki,0.38
Plac Kościuszki,Brama Portowa,0.95
Brama Portowa,Plac Żołnierza Polskiego,0.46
Plac Żołnierza Polskiego,Filharmonia,0.37
Filharmonia,Plac Rodła,0.35
Plac Rodła,Rayskiego,0.38
Rayskiego,Plac Witosa,0.32
Plac Witosa,Lubomirskiego,0.39
Lubomirskiego,Kołłątaja,0.35
Kołłątaja,Krasińskiego,0.45
Krasińskiego,Muzeum Techniki,0.36
Muzeum Techniki,Niemierzyńska Technopark,0.5
Niemierzyńska Technopark,Wszystkich Świętych,0.41
Wszystkich Świętych,Arkońska Szpital,0.26
Arkońska Szpital,Tatrzańska,0.38
Tatrzańska,Wojciechowskiego,0.28
Wojciechowskiego,Las Arkoński,0.22
Las Arkoński,Stadion Arkonia,0.54
Stadion Arkonia,Międzyparkowa,0.25
Międzyparkowa,Rondo Olszewskiego,0.45
Rondo Olszewskiego,Tor Kolarski,0.5
Tor Kolarski,Goplana,0.49
Goplana,Kasyno,0.29
Kasyno,Głębokie,0.77
Głębokie,Kasyno,0.5
Kasyno,Goplana,0.28
Goplana,Rondo Olszewskiego,0.5
Rondo Olszewskiego,Międzyparkowa,0.36
Międzyparkowa,Stadion Arkonia,0.63
Stadion Arkonia,Las Arkoński,0.21
Las Arkoński,Wojciechowskiego,0.55
Wojciechowskiego,Tatrzańska,0.32
Tatrzańska,Arkońska Szpital,0.47
Arkońska Szpital,Wszystkich Świętych,0.35
Wszystkich Świętych,Niemierzyńska Technopark,0.41
Niemierzyńska Technopark,Muzeum Techniki,0.37
Muzeum Techniki,Krasińskiego,0.57
Krasińskiego,Kołłątaja,0.32
Kołłątaja,Lubomirskiego,0.41
Lubomirskiego,Plac Witosa,0.28
Plac Witosa,Rayskiego,0.27
Rayskiego,Plac Rodła,0.32
Plac Rodła,Plac Żołnierza Polskiego,0.368
Plac Żołnierza Polskiego,Brama Portowa,0.46
Brama Portowa,Plac Zwycięstwa,0.355
Plac Zwycięstwa,Plac Kościuszki,0.584
Plac Kościuszki,Sikorskiego,0.54
Sikorskiego,Osiedle Akademickie,0.37
Osiedle Akademickie,Cmentarz Centralny,0.33
Cmentarz Centralny,Karola Miarki,0.57
Karola Miarki,Szkoła Salezjańska,0.7
Szkoła Salezjańska,Ku Słońcu,0.26
Ku Słońcu,Kręta,0.38
Kręta,Gumieńce,0.49
