From;To;Trips;Trips2
11;41;5;5.459
11;54;2;2.470
11;40;15;15.367
11;42;1;1.513
11;6;3;3.806
11;8;10;10.447
11;9;3;3.224
11;14;2;2.548
11;73;8;8.876
11;12;2;2.984
11;58;1;1.031
11;59;1;1.140
11;66;3;3.291
11;75;1;1.887
11;38;7;7.407
11;39;2;2.538
11;37;2;2.209
11;4;1;1.076
11;55;2;2.843
11;57;3;3.888
11;74;1;1.998
11;69;6;6.540
11;51;3;3.802
11;10;10;10.961
11;7;4;4.440
11;181;9;9.642
11;2;4;4.806
11;13;5;5.331
11;5;5;5.109
11;71;5;5.807
41;11;9;9.129
41;54;5;5.347
41;40;8;8.836
41;8;3;3.920
41;9;5;5.334
41;73;8;8.207
41;58;1;1.277
41;59;1;1.258
41;66;2;2.213
41;75;5;5.321
41;38;4;4.307
41;39;1;1.796
41;37;2;2.018
41;57;4;4.224
41;74;1;1.918
41;29;2;2.801
41;69;6;6.891
41;51;4;4.510
41;10;4;4.331
41;71;4;4.557
54;11;2;2.077
54;41;2;2.034
54;8;2;2.300
54;75;1;1.776
54;38;1;1.174
54;57;1;1.014
54;56;2;2.254
54;29;1;1.561
54;69;1;1.261
54;53;1;1.420
54;51;2;2.522
54;10;2;2.088
54;11;1;1.693
54;8;2;2.374
54;9;1;1.663
54;38;1;1.023
54;53;1;1.108
54;10;4;4.496
54;181;1;1.544
40;11;18;18.257
40;41;6;6.847
40;1;2;2.021
40;3;1;1.476
40;8;12;12.545
40;9;15;15.593
40;73;1;1.372
40;58;3;3.018
40;59;2;2.584
40;66;1;1.848
40;38;9;9.312
40;39;3;3.018
40;37;7;7.158
40;57;5;5.029
40;29;3;3.053
40;69;6;6.697
40;10;7;7.662
40;181;1;1.258
40;2;2;2.744
40;71;4;4.664
42;73;1;1.659
42;75;1;1.517
42;51;1;1.012
1;9;1;1.423
6;11;1;1.358
6;1;1;1.404
6;8;1;1.050
6;9;2;2.025
6;4;1;1.400
6;10;1;1.824
6;7;1;1.402
6;2;2;2.621
6;5;5;5.366
25;21;1;1.986
25;24;1;1.283
25;19;2;2.330
25;22;1;1.928
25;23;1;1.019
26;21;3;3.501
26;25;6;6.924
26;24;6;6.129
26;20;2;2.371
26;19;4;4.587
26;22;3;3.881
26;23;2;2.861
3;9;1;1.562
3;2;1;1.297
8;11;15;15.106
8;41;3;3.242
8;54;12;12.097
8;40;27;27.575
8;42;2;2.485
8;1;2;2.288
8;6;2;2.567
8;3;1;1.166
8;9;13;13.770
8;73;16;16.713
8;58;3;3.229
8;59;2;2.877
8;66;2;2.827
8;75;10;10.662
8;38;7;7.415
8;39;4;4.213
8;37;3;3.777
8;4;3;3.347
8;55;5;5.090
8;57;23;23.429
8;74;3;3.912
8;29;9;9.177
8;69;9;9.931
8;53;1;1.437
8;51;10;10.923
8;30;1;1.499
8;10;9;9.562
8;7;3;3.688
8;181;1;1.304
8;2;5;5.733
8;5;7;7.033
8;70;1;1.008
8;71;6;6.716
9;11;5;5.882
9;41;5;5.045
9;54;12;12.638
9;40;50;50.018
9;42;1;1.475
9;1;4;4.194
9;6;7;7.688
9;3;2;2.200
9;8;20;20.170
9;73;26;26.975
9;58;8;8.866
9;59;7;7.635
9;75;9;9.150
9;38;24;24.343
9;39;11;11.524
9;37;11;11.209
9;4;7;7.593
9;55;6;6.153
9;57;10;10.570
9;74;5;5.952
9;29;3;3.941
9;69;5;5.021
9;53;1;1.328
9;51;11;11.262
9;10;2;2.803
9;7;7;7.926
9;181;1;1.643
9;2;11;11.374
9;5;17;17.274
9;71;4;4.650
14;13;1;1.072
73;11;10;10.574
73;41;4;4.588
73;54;1;1.906
73;40;1;1.556
73;42;1;1.944
73;1;1;1.036
73;8;6;6.887
73;9;7;7.194
73;66;3;3.680
73;75;4;4.027
73;38;2;2.232
73;37;1;1.319
73;74;1;1.484
73;69;7;7.519
73;68;1;1.106
73;51;2;2.126
73;10;6;6.325
73;181;1;1.121
73;2;1;1.467
73;5;1;1.008
73;70;1;1.144
73;71;3;3.986
28;21;2;2.018
28;25;3;3.656
28;26;1;1.362
28;24;2;2.934
28;27;1;1.922
28;20;1;1.689
28;19;2;2.921
28;22;3;3.172
28;23;2;2.206
27;21;4;4.233
27;25;6;6.127
27;26;4;4.517
27;24;4;4.345
27;20;2;2.883
27;18;1;1.103
27;19;5;5.814
27;22;5;5.023
27;23;4;4.008
27;71;1;1.001
12;11;3;3.398
12;13;1;1.196
58;59;1;1.365
59;59;4;4.667
66;11;5;5.404
66;41;2;2.967
66;54;2;2.294
66;40;6;6.715
66;42;1;1.558
66;8;4;4.161
66;73;10;10.150
66;75;1;1.810
66;38;3;3.185
66;39;1;1.322
66;55;3;3.086
66;57;3;3.679
66;74;1;1.418
66;69;8;8.922
66;51;2;2.802
66;10;5;5.078
66;181;3;3.429
66;71;5;5.117
75;11;3;3.466
75;41;4;4.863
